AGENTE;GRUPO ECONÓMICO
CTGIGENG;3 C BIOGAS S.A.
CFCAHO1G;360 ENERGY S.A.
CFCAHO2G;360 ENERGY S.A.
CFCHIM1G;360 ENERGY S.A.
PFNONOGG;360 ENERGY S.A.
PSFIAMBG;360 ENERGY S.A.
PSSAUJIG;360 ENERGY S.A.
PSTINO1G;360 ENERGY S.A.
PSTINO2G;360 ENERGY S.A.
CTBARRAG;50 PAMPA 50 YPF
CTADECOG;ADECO AGROPECUARIA S.A.
AESJURAG;AES ARGENTINA S.A.
CFULLU2G;AES ARGENTINA S.A.
CTAESPAG;AES ARGENTINA S.A.
CTSNICOG;AES ARGENTINA S.A.
HALICURG;AES ARGENTINA S.A.
HTSANJUG;AES ARGENTINA S.A.
PEENER2G;AES ARGENTINA S.A.
PEENERGG;AES ARGENTINA S.A.
PEVINEUG;AES ARGENTINA S.A.
PSULLU1G;AES ARGENTINA S.A.
PSULLU2G;AES ARGENTINA S.A.
PSULLU3G;AES ARGENTINA S.A.
TERMOANG;AES ARGENTINA S.A.
TGBROWNG;AES ARGENTINA S.A.
CTALEMAG;AGGREKO ARGENTINA S.R.L.
CTARREAG;AGGREKO ARGENTINA S.R.L.
CTCASTAG;AGGREKO ARGENTINA S.R.L.
CTCIPOAG;AGGREKO ARGENTINA S.R.L.
CTCORRAG;AGGREKO ARGENTINA S.R.L.
CTGVILAG;AGGREKO ARGENTINA S.R.L.
CTISLAAG;AGGREKO ARGENTINA S.R.L.
CTVANGAG;AGGREKO ARGENTINA S.R.L.
CTVIALAG;AGGREKO ARGENTINA S.R.L.
AGRIQIDA;AGRITUR SAN LUIS S.A.
CTSOUZAG;AGRO DE SOUZA S.A.
CTEZEI2G;ALBANESI ENERGÍA S.A.
CTEZEI3G;ALBANESI ENERGÍA S.A.
CTEZEIZG;ALBANESI ENERGÍA S.A.
CTFRIASG;ALBANESI ENERGÍA S.A.
CTRENOVC;ALBANESI ENERGÍA S.A.
CTROCARG;ALBANESI ENERGÍA S.A.
CTSORREG;ALBANESI ENERGÍA S.A.
GINDEPEG;ALBANESI ENERGÍA S.A.
GMEDIT2G;ALBANESI ENERGÍA S.A.
GMEDIT3G;ALBANESI ENERGÍA S.A.
GMEDITEA;ALBANESI ENERGÍA S.A.
GRIOJANG;ALBANESI ENERGÍA S.A.
CTCITRUG;ALCOVIL S.A.
APARPPNA;ALTO PARANÁ
PSATINOA;ALTOS DE TINOGASTA S.A.
ALUAMAUG;ALUAR S.A.I.C.
ALUAREUA;ALUAR S.A.I.C.
HFUTALEG;ALUAR S.A.I.C.
PEALUARG;ALUAR S.A.I.C.
HAMEGHIG;ANDINA PLC
CTFORMAG;APR ENERGY
CTMAGAPG;APR ENERGY
CTMATH2G;APR ENERGY
CTSAE2AG;APR ENERGY
CTSAENAG;APR ENERGY
CTZAPPAG;APR ENERGY
CTARREBG;ARRE BEEF ENERGIA S.A.
AZUCTETA;AZUCARERA JUAN M.TERAN SA
CTSAMING;BENITO ROGGIO E HIJOS S.A.
PSBKINGG;BINGO KING S.A.
YANQUE2G;BIO ENERGIA YANQUETRUZ S.A.
YANQUETG;BIO ENERGIA YANQUETRUZ S.A.
ILEALESC;BIOELECTRICA LEALES S.A.
CBIO1R2G;BIOMASS CROP S.A.
CBIO2R1G;BIOMASS CROP S.A.
CBIO2R2G;BIOMASS CROP S.A.
CBIORC1G;BIOMASS CROP S.A.
CTJUSTOG;BIOMASS CROP S.A.
CTSCATAG;BIOMASS CROP S.A.
PFCAFAYG;CANADIAN SOLAR OPERATION AND MAINTENANCE SERVICE ARG. S.A.U.
CAPEXSAG;CAPEX S.A.
HYCHICOG;CAPEX S.A.
PEDIADEG;CAPEX S.A.
CEMAGIDA;CEMENTOS AVELLANEDA S.A.
CATLANTG;CENTRAL PUERTO S.A.
COSTANDG;CENTRAL PUERTO S.A.
CPUERTOG;CENTRAL PUERTO S.A.
CTBRILOG;CENTRAL PUERTO S.A.
CTMENPLG;CENTRAL PUERTO S.A.
CTMENZAG;CENTRAL PUERTO S.A.
CTVOBLIG;CENTRAL PUERTO S.A.
HPAGUILG;CENTRAL PUERTO S.A.
PEACHIRG;CENTRAL PUERTO S.A.
PECASTEG;CENTRAL PUERTO S.A.
PEGENO1G;CENTRAL PUERTO S.A.
PEGENO2G;CENTRAL PUERTO S.A.
