from_year,to_year,from_seccion,from_seccion_nombre,to_seccion,to_seccion_nombre,count
2011,2013,1,CAPITAL,1,CAPITAL,938705
2011,2013,13,RIO CUARTO,13,RIO CUARTO,182399
2011,2013,20,SAN JUSTO,20,SAN JUSTO,151708
2011,2013,3,COLON,3,COLON,151528
2011,2013,12,PUNILLA,12,PUNILLA,125783
2011,2013,6,GRAL SAN MARTIN,6,GRAL SAN MARTIN,93070
2011,2013,23,TERCERO ARRIBA,23,TERCERO ARRIBA,84123
2011,2013,26,UNION,26,UNION,78575
2011,2013,9,MARCOS JUAREZ,9,MARCOS JUAREZ,77167
2011,2013,16,RIO SEGUNDO,16,RIO SEGUNDO,74614
2011,2013,21,SANTA MARIA,21,SANTA MARIA,66149
2011,2013,8,JUAREZ CELMAN,8,JUAREZ CELMAN,43327
2011,2013,4,CRUZ DEL EJE,4,CRUZ DEL EJE,37427
2011,2013,2,CALAMUCHITA,2,CALAMUCHITA,37015
2011,2013,19,SAN JAVIER,19,SAN JAVIER,35802
2011,2013,14,RIO PRIMERO,14,RIO PRIMERO,32379
2011,2013,17,ROQUE SAENZ PEÑA,17,ROQUE SAENZ PEÑA,26432
2011,2013,18,SAN ALBERTO,18,SAN ALBERTO,25737
2011,2013,5,GENERAL ROCA,5,GENERAL ROCA,24534
2011,2013,7,ISCHILIN,7,ISCHILIN,22598
2011,2013,24,TOTORAL,24,TOTORAL,12650
2011,2013,15,RIO SECO,15,RIO SECO,10103
2011,2013,25,TULUMBA,25,TULUMBA,9847
2011,2013,1,CAPITAL,3,COLON,8477
2011,2013,3,COLON,1,CAPITAL,4933
2011,2013,11,POCHO,11,POCHO,3776
2011,2013,10,MINAS,10,MINAS,3758
2011,2013,1,CAPITAL,12,PUNILLA,3410
2011,2013,22,SOBREMONTE,22,SOBREMONTE,3396
2011,2013,12,PUNILLA,1,CAPITAL,2702
2011,2013,1,CAPITAL,21,SANTA MARIA,2435
2011,2013,20,SAN JUSTO,1,CAPITAL,1499
2011,2013,21,SANTA MARIA,1,CAPITAL,1457
2011,2013,13,RIO CUARTO,1,CAPITAL,1302
2011,2013,1,CAPITAL,13,RIO CUARTO,892
2011,2013,1,CAPITAL,20,SAN JUSTO,877
2011,2013,16,RIO SEGUNDO,1,CAPITAL,869
2011,2013,4,CRUZ DEL EJE,1,CAPITAL,816
2011,2013,23,TERCERO ARRIBA,1,CAPITAL,794
2011,2013,1,CAPITAL,4,CRUZ DEL EJE,680
2011,2013,1,CAPITAL,16,RIO SEGUNDO,670
2011,2013,1,CAPITAL,14,RIO PRIMERO,669
2011,2013,26,UNION,1,CAPITAL,649
2011,2013,14,RIO PRIMERO,1,CAPITAL,626
2011,2013,1,CAPITAL,6,GRAL SAN MARTIN,606
2011,2013,6,GRAL SAN MARTIN,1,CAPITAL,571
2011,2013,26,UNION,6,GRAL SAN MARTIN,558
2011,2013,1,CAPITAL,23,TERCERO ARRIBA,545
2011,2013,19,SAN JAVIER,1,CAPITAL,537
2011,2013,9,MARCOS JUAREZ,1,CAPITAL,537
2011,2013,2,CALAMUCHITA,1,CAPITAL,533
2011,2013,7,ISCHILIN,1,CAPITAL,455
2011,2013,23,TERCERO ARRIBA,6,GRAL SAN MARTIN,444
2011,2013,8,JUAREZ CELMAN,13,RIO CUARTO,426
2011,2013,12,PUNILLA,3,COLON,417
2011,2013,1,CAPITAL,19,SAN JAVIER,416
2011,2013,1,CAPITAL,2,CALAMUCHITA,414
2011,2013,18,SAN ALBERTO,1,CAPITAL,412
2011,2013,1,CAPITAL,9,MARCOS JUAREZ,401
2011,2013,3,COLON,12,PUNILLA,397
2011,2013,1,CAPITAL,18,SAN ALBERTO,375
2011,2013,25,TULUMBA,1,CAPITAL,360
2011,2013,1,CAPITAL,26,UNION,350
2011,2013,26,UNION,9,MARCOS JUAREZ,331
2011,2013,13,RIO CUARTO,8,JUAREZ CELMAN,330
2011,2013,20,SAN JUSTO,12,PUNILLA,326
2011,2013,1,CAPITAL,7,ISCHILIN,325
2011,2013,4,CRUZ DEL EJE,12,PUNILLA,324
2011,2013,18,SAN ALBERTO,19,SAN JAVIER,321
2011,2013,12,PUNILLA,21,SANTA MARIA,286
2011,2013,16,RIO SEGUNDO,6,GRAL SAN MARTIN,282
2011,2013,1,CAPITAL,25,TULUMBA,266
2011,2013,9,MARCOS JUAREZ,26,UNION,265
2011,2013,19,SAN JAVIER,18,SAN ALBERTO,262
2011,2013,12,PUNILLA,4,CRUZ DEL EJE,255
2011,2013,17,ROQUE SAENZ PEÑA,1,CAPITAL,233
2011,2013,8,JUAREZ CELMAN,1,CAPITAL,232
2011,2013,24,TOTORAL,3,COLON,229
2011,2013,15,RIO SECO,1,CAPITAL,227
2011,2013,20,SAN JUSTO,3,COLON,227
2011,2013,24,TOTORAL,1,CAPITAL,225
2011,2013,2,CALAMUCHITA,23,TERCERO ARRIBA,222
2011,2013,20,SAN JUSTO,6,GRAL SAN MARTIN,221
2011,2013,16,RIO SEGUNDO,20,SAN JUSTO,217
2011,2013,3,COLON,24,TOTORAL,209
2011,2013,2,CALAMUCHITA,13,RIO CUARTO,208
2011,2013,13,RIO CUARTO,2,CALAMUCHITA,187
2011,2013,5,GENERAL ROCA,13,RIO CUARTO,187
2011,2013,5,GENERAL ROCA,1,CAPITAL,184
2011,2013,21,SANTA MARIA,12,PUNILLA,182
2011,2013,20,SAN JUSTO,16,RIO SEGUNDO,181
2011,2013,6,GRAL SAN MARTIN,26,UNION,177
2011,2013,12,PUNILLA,20,SAN JUSTO,174
2011,2013,6,GRAL SAN MARTIN,23,TERCERO ARRIBA,173
2011,2013,10,MINAS,1,CAPITAL,172
2011,2013,13,RIO CUARTO,12,PUNILLA,166
2011,2013,13,RIO CUARTO,3,COLON,166
2011,2013,13,RIO CUARTO,23,TERCERO ARRIBA,164
2011,2013,23,TERCERO ARRIBA,2,CALAMUCHITA,164
2011,2013,8,JUAREZ CELMAN,6,GRAL SAN MARTIN,164
2011,2013,1,CAPITAL,24,TOTORAL,163
